simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
43,Beverton-Holt,sigma,1.3,Beverton-Holt,1.36,1.1,1.71,1,4.615384615384619,7.25,1.3,-0.54
44,Beverton-Holt,alpha,6.92,Ricker,0.67,0.32,1.02,1.003,-90.31791907514452,6.92,0.9,0.11
44,Beverton-Holt,b_for,0.11,Ricker,-0.03,-0.25,0.21,1,-127.2727272727273,6.92,0.9,0.11
44,Beverton-Holt,sigma,0.9,Ricker,0.76,0.62,0.95,1.001,-15.555555555555557,6.92,0.9,0.11
44,Beverton-Holt,alpha,6.92,Beverton-Holt,4.82,1.25,9.63,1.004,-30.346820809248552,6.92,0.9,0.11
44,Beverton-Holt,b_for,0.11,Beverton-Holt,0.17,-0.08,0.38,1.001,54.545454545454554,6.92,0.9,0.11
44,Beverton-Holt,sigma,0.9,Beverton-Holt,0.7,0.56,0.87,1.001,-22.22222222222223,6.92,0.9,0.11
45,Beverton-Holt,alpha,6.02,Ricker,0.39,0.05,0.82,1.001,-93.52159468438539,6.02,1.2,0.55
45,Beverton-Holt,b_for,0.55,Ricker,-0.1,-0.5,0.29,1.002,-118.18181818181817,6.02,1.2,0.55
45,Beverton-Holt,sigma,1.2,Ricker,1.32,1.07,1.65,1,10.000000000000009,6.02,1.2,0.55
45,Beverton-Holt,alpha,6.02,Beverton-Holt,3.4,0.51,9.46,1.002,-43.52159468438538,6.02,1.2,0.55
45,Beverton-Holt,b_for,0.55,Beverton-Holt,0.23,-0.22,0.64,1.007,-58.18181818181819,6.02,1.2,0.55
45,Beverton-Holt,sigma,1.2,Beverton-Holt,1.23,1,1.54,1.005,2.500000000000002,6.02,1.2,0.55
46,Beverton-Holt,alpha,4.92,Ricker,0.5,0.14,0.87,1.002,-89.83739837398375,4.92,0.7,-1.01
46,Beverton-Holt,b_for,-1.01,Ricker,-1,-1.41,-0.59,1.001,-0.990099009900991,4.92,0.7,-1.01
46,Beverton-Holt,sigma,0.7,Ricker,1.14,0.92,1.43,1.001,62.857142857142854,4.92,0.7,-1.01
46,Beverton-Holt,alpha,4.92,Beverton-Holt,6.4,2.61,9.83,1,30.08130081300814,4.92,0.7,-1.01
46,Beverton-Holt,b_for,-1.01,Beverton-Holt,-1.12,-1.33,-0.9,1,10.8910891089109,4.92,0.7,-1.01
46,Beverton-Holt,sigma,0.7,Beverton-Holt,0.73,0.59,0.91,1.001,4.28571428571429,4.92,0.7,-1.01
47,Beverton-Holt,alpha,5.3,Ricker,0.64,0.32,0.96,1.027,-87.9245283018868,5.3,0.2,0.52
47,Beverton-Holt,b_for,0.52,Ricker,0.16,0.01,0.3,1.024,-69.23076923076923,5.3,0.2,0.52
47,Beverton-Holt,sigma,0.2,Ricker,0.28,0.23,0.36,1.001,40.00000000000001,5.3,0.2,0.52
47,Beverton-Holt,alpha,5.3,Beverton-Holt,6.8,3.3,9.8,1.002,28.30188679245283,5.3,0.2,0.52
47,Beverton-Holt,b_for,0.52,Beverton-Holt,0.54,0.47,0.61,1,3.8461538461538494,5.3,0.2,0.52
47,Beverton-Holt,sigma,0.2,Beverton-Holt,0.21,0.17,0.26,1,4.99999999999999,5.3,0.2,0.52
48,Beverton-Holt,alpha,4.85,Ricker,0.88,0.29,1.47,1.002,-81.85567010309279,4.85,1.4,-0.39
48,Beverton-Holt,b_for,-0.39,Ricker,-0.24,-0.68,0.19,1,-38.46153846153847,4.85,1.4,-0.39
48,Beverton-Holt,sigma,1.4,Ricker,1.51,1.21,1.89,1.002,7.857142857142866,4.85,1.4,-0.39
