simulation,data_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for,alpha_estimate,sigma_estimate,b_for_estimate
14,Beverton-Holt,b_for,0.272174397221604,Beverton-Holt,0.26,0.09,0.44,1,-4.47301338622664,5.732509878596245,0.5918938942421816,0.272174397221604,6.67,0.59,0.26
14,Beverton-Holt,sigma,0.5918938942421816,Beverton-Holt,0.59,0.48,0.74,1.001,-0.3199719173664524,5.732509878596245,0.5918938942421816,0.272174397221604,6.67,0.59,0.26
14,Beverton-Holt,alpha,5.732509878596245,Ricker,2.28,1.9,2.67,1.002,-60.22684568738471,5.732509878596245,0.5918938942421816,0.272174397221604,2.28,0.86,0.47
14,Beverton-Holt,b_for,0.272174397221604,Ricker,0.47,0.21,0.74,1,72.68339887874413,5.732509878596245,0.5918938942421816,0.272174397221604,2.28,0.86,0.47
14,Beverton-Holt,sigma,0.5918938942421816,Ricker,0.86,0.7,1.09,1.002,45.2963121204489,5.732509878596245,0.5918938942421816,0.272174397221604,2.28,0.86,0.47
15,Beverton-Holt,alpha,3.9443307403258694,Beverton-Holt,4.33,2.33,9.54,1.003,9.777812386044173,3.9443307403258694,1.0131190663460474,-0.6745782481114269,4.33,0.96,-0.56
15,Beverton-Holt,b_for,-0.6745782481114269,Beverton-Holt,-0.56,-0.86,-0.24,1.002,-16.98516790783043,3.9443307403258694,1.0131190663460474,-0.6745782481114269,4.33,0.96,-0.56
15,Beverton-Holt,sigma,1.0131190663460474,Beverton-Holt,0.96,0.78,1.2,1.002,-5.243121772214656,3.9443307403258694,1.0131190663460474,-0.6745782481114269,4.33,0.96,-0.56
15,Beverton-Holt,alpha,3.9443307403258694,Ricker,1.63,1.12,2.13,1,-58.67486508331363,3.9443307403258694,1.0131190663460474,-0.6745782481114269,1.63,1.15,-0.36
15,Beverton-Holt,b_for,-0.6745782481114269,Ricker,-0.36,-0.72,-0.01,1.001,-46.633322226462425,3.9443307403258694,1.0131190663460474,-0.6745782481114269,1.63,1.15,-0.36
15,Beverton-Holt,sigma,1.0131190663460474,Ricker,1.15,0.94,1.46,1.002,13.510843710367855,3.9443307403258694,1.0131190663460474,-0.6745782481114269,1.63,1.15,-0.36
16,Beverton-Holt,alpha,0.8140317321558714,Beverton-Holt,0.23,0.01,0.85,1.001,-71.74557318657949,0.8140317321558714,0.8671960062125383,-1.230811989901567,0.23,0.78,-1.21
16,Beverton-Holt,b_for,-1.230811989901567,Beverton-Holt,-1.21,-1.46,-0.98,1.001,-1.6909154340649128,0.8140317321558714,0.8671960062125383,-1.230811989901567,0.23,0.78,-1.21
16,Beverton-Holt,sigma,0.8671960062125383,Beverton-Holt,0.78,0.63,0.97,1,-10.054936322108444,0.8140317321558714,0.8671960062125383,-1.230811989901567,0.23,0.78,-1.21
16,Beverton-Holt,alpha,0.8140317321558714,Ricker,0.07,0,0.3,1.001,-91.40082662200244,0.8140317321558714,0.8671960062125383,-1.230811989901567,0.07,0.84,-1.19
16,Beverton-Holt,b_for,-1.230811989901567,Ricker,-1.19,-1.43,-0.93,1,-3.315858980609296,0.8140317321558714,0.8671960062125383,-1.230811989901567,0.07,0.84,-1.19
16,Beverton-Holt,sigma,0.8671960062125383,Ricker,0.84,0.68,1.06,1.001,-3.1360852699629462,0.8140317321558714,0.8671960062125383,-1.230811989901567,0.07,0.84,-1.19
17,Beverton-Holt,alpha,0.622633238734726,Beverton-Holt,1.29,0.12,9.18,1.003,107.18457026506528,0.622633238734726,0.9439392537321615,-0.5329482599125324,1.29,1,-0.62
17,Beverton-Holt,b_for,-0.5329482599125324,Beverton-Holt,-0.62,-0.96,-0.28,1.002,16.333994617367658,0.622633238734726,0.9439392537321615,-0.5329482599125324,1.29,1,-0.62
17,Beverton-Holt,sigma,0.9439392537321615,Beverton-Holt,1,0.82,1.26,1,5.939020550971335,0.622633238734726,0.9439392537321615,-0.5329482599125324,1.29,1,-0.62
17,Beverton-Holt,alpha,0.622633238734726,Ricker,0.12,0.01,0.48,1.002,-80.72701671952882,0.622633238734726,0.9439392537321615,-0.5329482599125324,0.12,1.03,-0.52
17,Beverton-Holt,b_for,-0.5329482599125324,Ricker,-0.52,-0.84,-0.2,1,-2.429552901562605,0.622633238734726,0.9439392537321615,-0.5329482599125324,0.12,1.03,-0.52
17,Beverton-Holt,sigma,0.9439392537321615,Ricker,1.03,0.84,1.32,1.001,9.117191167500478,0.622633238734726,0.9439392537321615,-0.5329482599125324,0.12,1.03,-0.52
18,Beverton-Holt,alpha,5.1132606190558665,Beverton-Holt,7.12,3.74,9.84,1.001,39.24578718842354,5.1132606190558665,1.1228910005594508,0.3606108126941064,7.12,1.04,0.38
18,Beverton-Holt,b_for,0.3606108126941064,Beverton-Holt,0.38,0.07,0.69,1.001,5.376762599279238,5.1132606190558665,1.1228910005594508,0.3606108126941064,7.12,1.04,0.38
18,Beverton-Holt,sigma,1.1228910005594508,Beverton-Holt,1.04,0.85,1.31,1.001,-7.381927588532859,5.1132606190558665,1.1228910005594508,0.3606108126941064,7.12,1.04,0.38
18,Beverton-Holt,alpha,5.1132606190558665,Ricker,1.83,1.25,2.4,1.004,-64.21070357376192,5.1132606190558665,1.1228910005594508,0.3606108126941064,1.83,1.33,0.48
18,Beverton-Holt,b_for,0.3606108126941064,Ricker,0.48,0.06,0.88,1,33.107489599089554,5.1132606190558665,1.1228910005594508,0.3606108126941064,1.83,1.33,0.48
18,Beverton-Holt,sigma,1.1228910005594508,Ricker,1.33,1.09,1.65,1.001,18.44426568004933,5.1132606190558665,1.1228910005594508,0.3606108126941064,1.83,1.33,0.48
19,Beverton-Holt,alpha,2.106682368482107,Beverton-Holt,1.98,1.25,2.9,1.008,-6.013358747260204,2.106682368482107,1.1008683397549015,0.6141315725879484,1.98,1.22,0.78
19,Beverton-Holt,b_for,0.6141315725879484,Beverton-Holt,0.78,0.4,1.16,1.006,27.008614247445816,2.106682368482107,1.1008683397549015,0.6141315725879484,1.98,1.22,0.78
19,Beverton-Holt,sigma,1.1008683397549015,Beverton-Holt,1.22,0.98,1.52,1.005,10.821608356147483,2.106682368482107,1.1008683397549015,0.6141315725879484,1.98,1.22,0.78
19,Beverton-Holt,alpha,2.106682368482107,Ricker,1.85,1.33,2.4,1.003,-12.184198829510791,2.106682368482107,1.1008683397549015,0.6141315725879484,1.85,1.22,0.8
19,Beverton-Holt,b_for,0.6141315725879484,Ricker,0.8,0.4,1.18,1.001,30.265245381995708,2.106682368482107,1.1008683397549015,0.6141315725879484,1.85,1.22,0.8
19,Beverton-Holt,sigma,1.1008683397549015,Ricker,1.22,1,1.55,1.001,10.821608356147483,2.106682368482107,1.1008683397549015,0.6141315725879484,1.85,1.22,0.8
20,Beverton-Holt,alpha,4.570314192491777,Beverton-Holt,6.59,3.85,9.77,1.001,44.19139959406318,4.570314192491777,1.2037686556832838,-0.13647328600967434,6.59,1.2,-0.11
20,Beverton-Holt,b_for,-0.13647328600967434,Beverton-Holt,-0.11,-0.46,0.28,1.002,-19.398145075658032,4.570314192491777,1.2037686556832838,-0.13647328600967434,6.59,1.2,-0.11
20,Beverton-Holt,sigma,1.2037686556832838,Beverton-Holt,1.2,0.99,1.53,1.002,-0.31307142493627377,4.570314192491777,1.2037686556832838,-0.13647328600967434,6.59,1.2,-0.11
20,Beverton-Holt,alpha,4.570314192491777,Ricker,3.13,2.53,3.76,1.001,-31.514555276264378,4.570314192491777,1.2037686556832838,-0.13647328600967434,3.13,1.35,0.05
20,Beverton-Holt,b_for,-0.13647328600967434,Ricker,0.05,-0.4,0.48,1.001,-136.6372067837918,4.570314192491777,1.2037686556832838,-0.13647328600967434,3.13,1.35,0.05
20,Beverton-Holt,sigma,1.2037686556832838,Ricker,1.35,1.09,1.7,1,12.147794646946704,4.570314192491777,1.2037686556832838,-0.13647328600967434,3.13,1.35,0.05
21,Beverton-Holt,alpha,1.2945223543298658,Beverton-Holt,1.56,0.78,2.96,1.027,20.507768350401623,1.2945223543298658,1.4384795666056012,0.10449263531516717,1.56,1.52,0.32
21,Beverton-Holt,b_for,0.10449263531516717,Beverton-Holt,0.32,-0.16,0.8,1.004,206.24167821476294,1.2945223543298658,1.4384795666056012,0.10449263531516717,1.56,1.52,0.32
21,Beverton-Holt,sigma,1.4384795666056012,Beverton-Holt,1.52,1.24,1.92,1.005,5.667124878719249,1.2945223543298658,1.4384795666056012,0.10449263531516717,1.56,1.52,0.32
21,Beverton-Holt,alpha,1.2945223543298658,Ricker,1.5,0.93,2.14,1.011,15.872854183078482,1.2945223543298658,1.4384795666056012,0.10449263531516717,1.5,1.54,0.32
21,Beverton-Holt,b_for,0.10449263531516717,Ricker,0.32,-0.15,0.8,1.002,206.24167821476294,1.2945223543298658,1.4384795666056012,0.10449263531516717,1.5,1.54,0.32
21,Beverton-Holt,sigma,1.4384795666056012,Ricker,1.54,1.26,1.94,1.005,7.0574817850181875,1.2945223543298658,1.4384795666056012,0.10449263531516717,1.5,1.54,0.32
22,Beverton-Holt,alpha,6.033614246068408,Beverton-Holt,5.22,4.55,6.08,1.001,-13.484691146746274,6.033614246068408,0.8439587378440445,-1.9999137314778181,5.22,0.78,-2.06
22,Beverton-Holt,b_for,-1.9999137314778181,Beverton-Holt,-2.06,-2.3,-1.81,1.001,3.004443020538776,6.033614246068408,0.8439587378440445,-1.9999137314778181,5.22,0.78,-2.06
22,Beverton-Holt,sigma,0.8439587378440445,Beverton-Holt,0.78,0.63,0.98,1,-7.578420007526891,6.033614246068408,0.8439587378440445,-1.9999137314778181,5.22,0.78,-2.06
